preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_0bwljln,new,nebenrolle,8,7,0.678636,FOLLOW_EQ10K_TRX_2024_5M,,0
dio_mcm_episode_0j53akt,new,nebenrolle,8,7,0.575478,FOLLOW_EQ10K_TRX_2024_5M,,0
dio_mcm_episode_0wm1gdi,new,nebenrolle,8,7,0.494343,FOLLOW_EQ10K_PAXG_2024_5M,,0
dio_mcm_episode_1xzpklz,new,nebenrolle,8,7,0.497637,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_05tvz8i,new,nebenrolle,8,6,0.524168,FOLLOW_EQ10K_TRX_2024_5M,,0
dio_mcm_episode_1b42cpg,new,nebenrolle,8,6,0.815156,FOLLOW_EQ10K_KAS_2024_5M,,0
dio_mcm_episode_1wlvgow,new,nebenrolle,8,6,0.483893,BTC_1H_B,,0
dio_mcm_episode_04d3kci,new,nebenrolle,8,5,0.598182,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_11m112s,new,nebenrolle,8,5,0.628154,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_16hqn22,breite_grundrolle,breite_grundrolle,8,1,-0.001137,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_171moy1,breite_grundrolle,breite_grundrolle,8,1,-0.001159,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0wc77sa,new,nebenrolle,7,7,0.495175,BTC_FIELD_QUIET_04,,0
dio_mcm_episode_11q0pm1,new,nebenrolle,7,7,0.475336,BTC_LONG_2025_5M_QUIET,,0
dio_mcm_episode_1g87ln1,new,nebenrolle,7,7,0.523823,BTC_1H_A,,0
dio_mcm_episode_05upp98,breite_grundrolle,breite_grundrolle,7,1,0.000851,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_16bqw8k,breite_grundrolle,breite_grundrolle,7,1,0.000253,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_0uqv2ui,new,nebenrolle,6,6,0.488632,BTC_STRESS_2025_5M,,0
dio_mcm_episode_12lf8e3,new,nebenrolle,6,6,0.479232,BTC_1H_C,,0
dio_mcm_episode_0bygq81,breite_grundrolle,breite_grundrolle,6,1,-0.001408,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0n6m7si,breite_grundrolle,breite_grundrolle,6,1,0.000157,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_10r2mum,milieurolle,milieurolle,6,1,-0.000543,PAXG_1846_A,PAXG_1846_A,0
dio_mcm_episode_14pd6eb,breite_grundrolle,breite_grundrolle,6,1,-3e-06,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_0x60uui,nebenrolle,breite_grundrolle,5,1,-0.000113,FOLLOW_XRP_2024_5M_2000,FOLLOW_XRP_2024_5M_2000,0
dio_mcm_episode_094f7up,nebenrolle,nebenrolle,4,1,0.001867,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1ole1yf,nebenrolle,nebenrolle,4,1,0.003591,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_01116gq,nebenrolle,nebenrolle,3,1,0.001347,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0d5sirp,nebenrolle,nebenrolle,3,1,0.000481,BTC_FIELD_QUIET_02,BTC_FIELD_QUIET_02,0
dio_mcm_episode_0mfdlry,nebenrolle,nebenrolle,3,1,0.002851,BTC_SHIFT_2025_15M_16000_17000,BTC_SHIFT_2025_15M_16000_17000,0
dio_mcm_episode_0xsyn4p,nebenrolle,nebenrolle,3,1,-0.000717,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0z1w5lo,nebenrolle,nebenrolle,3,1,-0.001431,BTC_1H_C,BTC_1H_C,0
dio_mcm_episode_11w0mrr,nebenrolle,nebenrolle,3,1,-0.005541,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
