holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
xrp2024,dio_151g,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_151ggy2:2,0.431663,0.169126,0.6553105
xrp2024,dio_151z,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_151z31m:2,0.365494,0.2756415,0.591252
xrp2024,dio_158y,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_158y4uo:2,0.376461,0.251415,0.6099380000000001
xrp2024,dio_15hn,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_15hnpkx:2,0.3809545,0.2600155,0.6091435000000001
xrp2024,dio_15qu,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_15qu9l7:2,0.3507355,0.29462350000000004,0.585631
xrp2024,dio_15ud,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_15udk6l:2,0.416909,0.196185,0.639492
xrp2024,dio_166p,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_166pfj7:2,0.3961755,0.2367705,0.6142125
xrp2024,dio_16di,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_16dinll:2,0.409161,0.2178095,0.639145
xrp2024,dio_16lp,offener_feldkontakt,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_16lp9us:2,0.3634535,0.285747,0.5928694999999999
xrp2024,dio_16po,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_16polr5:2,0.43585949999999996,0.18455749999999999,0.650828
xrp2024,dio_16r1,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_16r1t6r:2,0.405223,0.221236,0.6209285
xrp2024,dio_16wn,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_16wnvc7:2,0.42430650000000003,0.1922645,0.63947
xrp2024,dio_172i,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_172ilok:2,0.3446405,0.323736,0.5685175
xrp2024,dio_173f,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_173fwa2:2,0.356327,0.29015250000000004,0.5852029999999999
xrp2024,dio_17m8,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_17m80hc:2,0.400135,0.228489,0.61572
xrp2024,dio_17v5,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_17v5y0f:2,0.38708549999999997,0.254574,0.5944965
xrp2024,dio_183v,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_183v0q3:2,0.418375,0.19363750000000002,0.64317
xrp2024,dio_18f1,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_18f1uhi:2,0.313222,0.351311,0.5438274999999999
xrp2024,dio_18i0,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_18i0yvz:2,0.35735649999999997,0.2905365,0.581163
xrp2024,dio_18n4,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_18n4ehw:2,0.45220150000000003,0.15479300000000001,0.680785
xrp2024,dio_18z7,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_18z7iaa:2,0.398798,0.2370795,0.6039844999999999
xrp2024,dio_1915,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1915k6i:2,0.415443,0.2109225,0.6358280000000001
xrp2024,dio_19qe,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_19qe7p6:2,0.355023,0.30293000000000003,0.5617615
xrp2024,dio_19t8,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_19t87sq:2,0.315086,0.3407235,0.555531
xrp2024,dio_19uo,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_19uojuc:2,0.4505905,0.156546,0.671025
xrp2024,dio_1a09,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1a095ct:2,0.407242,0.21660400000000002,0.6286025
xrp2024,dio_1a0q,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1a0qe9t:2,0.3540905,0.3074635,0.5762430000000001
xrp2024,dio_1a9j,offener_feldkontakt,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1a9j487:2,0.3707635,0.27941099999999996,0.5764185
xrp2024,dio_1b4r,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1b4ryjo:2,0.346403,0.3120185,0.573162
xrp2024,dio_1bgq,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1bgqvnn:2,0.398603,0.2377305,0.6069315
xrp2024,dio_1c6p,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1c6pevr:2,0.4366795,0.1635835,0.6596445
xrp2024,dio_1c9k,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1c9k7v0:2,0.43203899999999995,0.1931095,0.6537625
xrp2024,dio_1ce5,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1ce54xz:2,0.45717050000000004,0.150217,0.6823485
xrp2024,dio_1cks,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1cksfxi:2,0.407547,0.221244,0.6187910000000001
xrp2024,dio_1ckv,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1ckv865:2,0.35493549999999996,0.30221200000000004,0.570633
xrp2024,dio_1cmd,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1cmdxhd:2,0.3930815,0.2238915,0.6279805
xrp2024,dio_1d54,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1d54eve:2,0.43102399999999996,0.181853,0.6619900000000001
xrp2024,dio_1d80,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1d806rc:2,0.38592150000000003,0.2372355,0.6180840000000001
xrp2024,dio_1da3,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1da3wqt:2,0.38981699999999997,0.27472949999999996,0.6026655000000001
xrp2024,dio_1da3,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1da3wqt:2,0.3464385,0.29349749999999997,0.5860555000000001
xrp2024,dio_1dcc,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1dccpqc:2,0.3501535,0.3049395,0.5749795
xrp2024,dio_1dp0,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1dp0f5w:2,0.387605,0.2587555,0.6023315
xrp2024,dio_1dp0,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_1dp0f5w:2,0.4369405,0.23371750000000002,0.629783
